舵机ID,舵机名称,配置最小值,配置最大值,最小值对应的物理状态（可选值：闭合/睁开/上扬/下垂/左转/右转/上转/下转/其他）,最大值对应的物理状态（可选值：闭合/睁开/上扬/下垂/左转/右转/上转/下转/其他）,备注
0,右下颚,64,85,,,
1,左下颚,0,180,,,
2,右上唇,83,124,,,
3,左上唇,38,75,,,
4,右下唇,82,137,,,
5,左下唇,0,65,,,
6,右上眼睑,55,148,,,
7,左上眼睑,25,106,,,
8,右下眼睑,67,128,,,
9,左下眼睑,53,123,,,
10,眼球水平,71,113,,,
11,眼球垂直,52,109,,,
12,右眉毛外舵机（眉梢）,38,76,,,
13,右眉毛内舵机（眉头）,35,89,,,
14,左眉毛外舵机（眉梢）,104,126,,,
15,左眉毛内舵机（眉头）,100,142,,,
